X,Y,OBJECTID,GLOBALID,DAMAGE,STRUCTURETYPE
-13151908.0586,4056406.0021,16830,5620d753-5474-4999-8fac-3648c7a6e87d,Destroyed (>50%),Single Family Residence Single Story
-13151885.9141,4056402.9449,16831,7ba93219-fc18-47c4-bb29-9237cf29bbf0,Destroyed (>50%),Single Family Residence Single Story
-13151763.938,4056248.5454,16832,67d7ae94-2e51-474d-9c12-ffba4d503b16,Destroyed (>50%),Single Family Residence Single Story
-13151797.5257,4056232.9732,16833,0bcf8433-847d-4a48-8420-f9e626549cfb,Affected (1-9%),Single Family Residence Multi Story
-13153713.1335,4056185.1359,16834,f0db834e-1b17-44d3-ba7f-8f0ef3b411b0,No Damage,Single Family Residence Single Story
-13153716.7923,4056549.9581,16835,2f800419-69f9-4683-9d72-ce04333d9337,No Damage,Single Family Residence Multi Story
-13153740.7728,4056560.6161,16836,3d359638-e8c8-415a-bc1c-294b4986099d,No Damage,Utility Misc Structure
-13153751.9381,4056151.2869,16837,e466056f-82be-4b1c-9ac6-d7946aca07f1,No Damage,Single Family Residence Single Story
-13153741.0308,4056097.7127,16838,38ec8674-a0a3-4f1e-ba1a-867316bafa41,No Damage,Utility Misc Structure
-13153756.3014,4056115.7737,16839,a2970c3a-9e80-4520-83c1-24aa9f94f66d,No Damage,Utility Misc Structure
-13153727.7413,4056126.8936,16840,fdae3304-d97f-4a43-849c-28bbde38e1c1,No Damage,Single Family Residence Single Story
-13151864.0212,4056412.0809,16841,a5329394-526a-40c6-8360-a37f5a979306,Destroyed (>50%),Single Family Residence Single Story
-13147476.0705,4053560.7468,16842,901583be-5d7c-459a-bdf6-952cc57de973,Affected (1-9%),Single Family Residence Single Story
-13151853.2213,4056383.3778,16843,4aeb91d5-5123-4758-a958-21f978b48795,Destroyed (>50%),Single Family Residence Single Story
-13151849.2893,4056384.9958,16844,5c1bfd6b-52cb-4b36-a1dd-089410d3ce9d,Destroyed (>50%),Utility Misc Structure
-13151858.0213,4056373.5962,16845,6165dcbe-f523-4c33-8b30-452b415f1516,Destroyed (>50%),Single Family Residence Single Story
-13151863.2907,4056382.6507,16846,4ca65543-5762-404a-ab02-e2384bc59fad,Destroyed (>50%),Utility Misc Structure
-13151910.0319,4056353.2392,16847,b3812f2d-10a7-42ab-9c03-1f3ca8d2ddce,Destroyed (>50%),Single Family Residence Single Story
-13151936.9995,4056337.7459,16848,bc9d298c-24be-45f3-9fa0-6dce4f3e86e4,Destroyed (>50%),Single Family Residence Single Story
-13149752.2496,4053429.5904,16849,dd225ff0-d46c-4367-8c66-1b2a6bcb1c3f,No Damage,Utility Misc Structure
-13152349.3321,4056091.4318,16851,67394dc4-97a5-4aeb-9b37-8f5a9713893a,No Damage,Utility Misc Structure
-13152354.0364,4056060.7708,16852,740b7d01-41e7-4f34-b602-15e549696806,No Damage,Single Family Residence Single Story
